success,tokenNum,teamSize,USA,UK,othercountry,overallrating,offered_ownership,duration,priceETH,isERC,softcap,hardcap,whitepaper,video,socialMedia
1,21.82187813,2.833213344,1,0,0,2.6,0.33,90,5.00E-06,1,1,1,1,1,0
1,20.16202373,3.465735903,0,0,1,4.1,0.7,40,7.00E-05,1,1,1,1,1,0
1,18.51599092,2.890371758,0,0,1,3.4,NA,21,0.00035,1,0,0,1,1,0
1,26.20390476,3.218875825,0,0,1,3.7,0.03,31,2.00E-07,1,0,1,1,1,0
1,19.79439632,2.833213344,0,0,1,3.6,0.09,27,0.00015,1,1,1,1,1,0
1,NA,1.945910149,1,0,0,2.8,NA,47,NA,NA,0,0,0,1,3
0,18.25816181,1.791759469,0,1,0,2.6,0.85,44,0.007,1,1,1,1,1,0
1,NA,2.302585093,0,0,1,2.5,0.92,10,0.001,0,1,1,1,0,0
1,NA,1.945910149,1,0,0,3,NA,35,0.000375,NA,0,0,1,1,3
0,#NAME?,1.945910149,0,1,0,2.9,NA,26,9.00E-04,NA,1,1,1,1,2
0,18.82614585,2.397895273,0,1,0,2.5,0.6,59,5.00E-05,0,1,1,1,1,0
1,18.42068074,#NAME?,0,0,1,3.7,0.8,7,5.00E-05,1,1,1,1,1,0
1,16.47226746,2.079441542,0,0,1,3.8,0.79,119,0.0014,NA,1,1,1,1,3
1,14.60396792,#NAME?,0,0,1,1.4,NA,54,7.00E-04,NA,0,0,1,0,0
1,20.29248292,2.564949357,0,1,0,3.4,0.65,56,2.00E-04,1,1,1,1,1,0
1,18.63981627,2.302585093,0,0,1,3,0.85,30,0.0011,1,0,0,1,1,0
0,17.72753356,0.693147181,0,0,1,2.3,0.5,50,NA,1,0,1,1,0,3
0,18.0640058,2.302585093,0,0,1,2.1,NA,41,0.0016,1,0,0,1,0,0
1,18.82614585,2.995732274,1,0,0,4,0.3,13,2.00E-04,NA,1,1,1,0,0
1,NA,1.609437912,0,0,1,2.1,NA,44,0.007,NA,0,1,1,1,0
